vendor,invoice_no,date,location,item_no,description,category,qty,uom,pack_size,unit_price,extended_price
FreshPoint,90024,2026-05-24,Cape Coral,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,2,CS,CS,43.62,87.24
FreshPoint,90024,2026-05-24,Cape Coral,260305,GRAPE RED SEEDLESS,PRODUCE,5,CS,CS,40.64,203.2
FreshPoint,90024,2026-05-24,Cape Coral,270112,MELON CANTALOUPE CT,PRODUCE,5,CS,CS,33.26,166.3
FreshPoint,90024,2026-05-24,Cape Coral,407810,TOMATO 5X6 2LAY,PRODUCE,4,CS,CS,85.41,341.64
FreshPoint,90024,2026-05-24,Cape Coral,403647,LETTUCE CELLO ICEBERG,PRODUCE,6,CS,CS,37.7,226.2
FreshPoint,90024,2026-05-24,Cape Coral,405035,MUSHROOM SLICED,PRODUCE,2,CS,CS,16.39,32.78
FreshPoint,90024,2026-05-24,Cape Coral,512300,SPINACH BABY CELLO,PRODUCE,7,CS,CS,25.04,175.28
FreshPoint,90024,2026-05-24,Cape Coral,514021,ONION SWEET DICED,PRODUCE,9,CS,CS,35.68,321.12
FreshPoint,90024,2026-05-24,Cape Coral,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,4,CS,CS,31.47,125.88
FreshPoint,90024,2026-05-24,Cape Coral,561200,POTATO IDAHO #2 50LB,PRODUCE,7,CS,CS,27.92,195.44
